Order,Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,0.0269394,0.212481308,0.421938647,0.072731082,0.476999498,0.205333822,0.205333822,0.006581646,0.092208478,0.026791243,0.030235816,0.270381597,0.610999342,0.028482472,0.0662245,0.108262497,0.027443689,0.024917749,7.887380862,15.66251093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2,0.004056653,0.104999071,0.014279731,0.024105957,0.167094773,0.046367984,0.046367984,0.004056653,0.009467227,0.004526696,0.02750701,0.042739356,0.11958394,0.012600771,0.093716269,0.057790876,0.010800867,0.006782701,25.88317783,3.520077019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2,0.004056653,0.570556469,0.171406702,0.02019163,0.061832702,0.054486707,0.054486707,0.004056653,0.035578904,0.004056653,0.034818176,0.016911493,0.105349418,0.012606111,0.053513534,0.047405147,0.009559972,0.006880627,140.6470972,42.25323241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,0.014602305,4.650099858,0.022114445,0.007105695,0.156819962,0.070317455,0.069929573,0.009676791,1.738866233,0.013036936,0.045497719,0.052642238,0.427085986,0.014472526,0.051388914,0.024132263,0.006067359,0.005380797,318.4497145,1.514448917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2,0.045739012,0.36876884,0.019088228,0.006108264,0.278668387,0.064231711,0.064231711,0.010781874,0.241253784,0.045320953,0.035481582,0.057171985,0.272933997,0.018891392,0.049630096,0.050539158,0.005786996,0.005788497,8.062457493,0.417329259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,0.008098186,0.235025541,0.182280343,0.025622084,0.046807751,0.03890402,0.037867213,0.005126471,0.014912191,0.006296479,0.028442974,0.217961311,0.355201141,0.021409993,0.113688117,0.134087638,0.011411326,0.012198301,29.02199838,22.50878691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,0.019498917,0.683527006,0.035527196,0.014959372,0.430006029,0.069051009,0.067601157,0.011337416,0.138366586,0.018446757,0.033327409,0.075422196,0.15939779,0.01670487,0.033797399,0.036337224,0.008641437,0.013109645,35.05461385,1.822008679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,0.004056653,0.060402839,0.015232417,0.007500019,0.149098523,0.01049292,0.010623318,0.004092035,0.001522641,0.004056653,0.027564775,0.047611505,0.033890757,0.012986475,0.037538328,0.022592462,0.005969068,0.006394118,14.88982149,3.754922346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,2,0.015402529,1.036678761,0.155572884,0.022977097,0.152309431,0.015825322,0.015825322,0.028507734,0.859117715,0.01217735,0.032923716,0.038256305,0.059517367,0.013728557,0.031964579,0.023268071,0.010457979,0.006504389,67.30574966,10.10047662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,0.036884932,6.041892945,0.103977726,0.017530557,0.299275534,0.217515419,0.21541095,0.089273133,0.948280702,0.017375311,0.067444793,0.208137662,0.935994826,0.016681334,0.161653076,0.283069875,0.008973129,0.006266973,163.803825,2.818975673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
