sample,batch,class,order
batch01_C05,1,1,case
batch01_C10,1,1,case
batch01_C03,1,1,case
batch01_C07,1,1,case
batch01_C08,1,1,case
batch01_C06,1,1,case
batch01_C04,1,1,case
batch01_C09,1,1,case
batch02_C05,1,1,case
batch02_C01,1,1,case
batch02_C10,1,1,case
batch02_C03,1,1,case
batch02_C07,1,1,case
batch02_C08,1,1,case
batch02_C06,1,1,case
batch02_C02,1,1,case
batch02_C04,1,1,case
batch02_C09,1,1,case
batch03_C05,1,1,case
batch03_C01,1,1,case
batch03_C10,1,1,case
batch03_C03,1,1,case
batch03_C07,1,1,case
batch03_C08,1,1,case
batch03_C06,1,1,case
batch03_C02,1,1,case
batch03_C04,1,1,case
batch03_C09,1,1,case
batch04_C05,1,1,case
batch04_C01,1,1,case
batch04_C07,1,1,case
batch04_C08,1,1,case
batch04_C06,1,1,case
batch04_C02,1,1,case
batch04_C04,1,1,case
batch05_C01,2,1,case
batch05_C10,2,1,case
batch05_C03,2,1,case
batch05_C07,2,1,case
batch05_C06,2,1,case
batch05_C02,2,1,case
batch05_C04,2,1,case
batch06_C10,3,1,case
batch06_C03,3,1,case
batch06_C07,3,1,case
batch06_C08,3,1,case
batch06_C06,3,1,case
batch06_C02,3,1,case
batch06_C04,3,1,case
batch06_C09,3,1,case
batch07_C05,4,1,case
batch07_C01,4,1,case
batch07_C10,4,1,case
batch07_C03,4,1,case
batch07_C07,4,1,case
batch07_C08,4,1,case
batch07_C02,4,1,case
batch07_C09,4,1,case
batch08_C05,4,1,case
batch08_C01,4,1,case
batch08_C10,4,1,case
batch08_C03,4,1,case
batch08_C07,4,1,case
batch08_C08,4,1,case
batch08_C04,4,1,case
batch08_C09,4,1,case
batch01_S07,1,2,control
batch01_S01,1,2,control
batch01_S05,1,2,control
batch01_S06,1,2,control
batch01_S02,1,2,control
batch01_S09,1,2,control
batch01_S04,1,2,control
batch01_S10,1,2,control
batch02_S03,1,2,control
batch02_S07,1,2,control
batch02_S01,1,2,control
batch02_S05,1,2,control
batch02_S06,1,2,control
batch02_S02,1,2,control
batch02_S09,1,2,control
batch02_S04,1,2,control
batch02_S08,1,2,control
batch02_S10,1,2,control
batch03_S03,1,2,control
batch03_S07,1,2,control
batch03_S01,1,2,control
batch03_S05,1,2,control
batch03_S06,1,2,control
batch03_S02,1,2,control
batch03_S09,1,2,control
batch03_S04,1,2,control
batch03_S08,1,2,control
batch03_S10,1,2,control
batch04_S03,1,2,control
batch04_S07,1,2,control
batch04_S01,1,2,control
batch04_S05,1,2,control
batch04_S06,1,2,control
batch04_S02,1,2,control
batch04_S09,1,2,control
batch04_S08,1,2,control
batch04_S10,1,2,control
batch05_S03,2,2,control
batch05_S07,2,2,control
batch05_S01,2,2,control
batch05_S04,2,2,control
batch05_S08,2,2,control
batch06_S03,3,2,control
batch06_S01,3,2,control
batch06_S05,3,2,control
batch06_S06,3,2,control
batch06_S02,3,2,control
batch06_S04,3,2,control
batch06_S08,3,2,control
batch07_S03,4,2,control
batch07_S07,4,2,control
batch07_S05,4,2,control
batch07_S06,4,2,control
batch07_S02,4,2,control
batch07_S09,4,2,control
batch07_S04,4,2,control
batch07_S08,4,2,control
batch07_S10,4,2,control
batch08_S03,4,2,control
batch08_S07,4,2,control
batch08_S01,4,2,control
batch08_S05,4,2,control
batch08_S06,4,2,control
batch08_S02,4,2,control
batch08_S09,4,2,control
batch08_S04,4,2,control
batch08_S08,4,2,control
batch08_S10,4,2,control
