Order,Group,1,2,3,4,5,6
21,2,0.0269394,0.212481308,0.421938647,0.072731082,0.476999498,0.205333822
71,2,0.004056653,0.104999071,0.014279731,0.024105957,0.167094773,0.046367984
50,2,0.004056653,0.570556469,0.171406702,0.02019163,0.061832702,0.054486707
14,2,0.014602305,4.650099858,0.022114445,0.007105695,0.156819962,0.070317455
74,2,0.045739012,0.36876884,0.019088228,0.006108264,0.278668387,0.064231711
9,2,0.008098186,0.235025541,0.182280343,0.025622084,0.046807751,0.03890402
32,2,0.019498917,0.683527006,0.035527196,0.014959372,0.430006029,0.069051009
20,2,0.004056653,0.060402839,0.015232417,0.007500019,0.149098523,0.01049292
168,2,0.015402529,1.036678761,0.155572884,0.022977097,0.152309431,0.015825322
152,1,0.013210757,0.044602064,0.027918764,0.009182126,0.138607443,0.024453696
202,1,0.034210004,3.245016284,0.301579858,0.049572308,0.424890367,0.140573181
175,1,0.060388746,7.898454322,0.018486008,0.017019183,1.423984651,0.565063633
187,1,0.011030595,0,0.113662883,0.014860023,0.054833992,0.005784008
194,1,0.139172455,0.661076138,0.006288929,0.005643218,0.49637126,0.642363933
193,1,0.015567128,1.511448699,0.261224274,0.068739051,0.573056583,0.156063719
47,1,0.012094732,0.083796053,0.155758883,0.027237806,0.041610652,0.098766104
159,1,0.006672949,0.150871408,0.18476811,0.035619152,0.31244815,0.257515642
80,1,0.126813852,1.034309586,3.737785388,0.472640548,0.749604028,1.104553937
192,1,0.024444089,0.50613598,0.083331385,0.064055375,1.26571366,0.25247124
