Order,Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
21,2,0.0269394,0.212481308,0.421938647,0.072731082,0.476999498,0.205333822,0.205333822,0.006581646,0.092208478,0.026791243,0.030235816,0.270381597,0.610999342,0.028482472,0.0662245,0.108262497,0.027443689,0.024917749,7.887380862,15.66251093
71,2,0.004056653,0.104999071,0.014279731,0.024105957,0.167094773,0.046367984,0.046367984,0.004056653,0.009467227,0.004526696,0.02750701,0.042739356,0.11958394,0.012600771,0.093716269,0.057790876,0.010800867,0.006782701,25.88317783,3.520077019
50,2,0.004056653,0.570556469,0.171406702,0.02019163,0.061832702,0.054486707,0.054486707,0.004056653,0.035578904,0.004056653,0.034818176,0.016911493,0.105349418,0.012606111,0.053513534,0.047405147,0.009559972,0.006880627,140.6470972,42.25323241
14,2,0.014602305,4.650099858,0.022114445,0.007105695,0.156819962,0.070317455,0.069929573,0.009676791,1.738866233,0.013036936,0.045497719,0.052642238,0.427085986,0.014472526,0.051388914,0.024132263,0.006067359,0.005380797,318.4497145,1.514448917
74,2,0.045739012,0.36876884,0.019088228,0.006108264,0.278668387,0.064231711,0.064231711,0.010781874,0.241253784,0.045320953,0.035481582,0.057171985,0.272933997,0.018891392,0.049630096,0.050539158,0.005786996,0.005788497,8.062457493,0.417329259
9,2,0.008098186,0.235025541,0.182280343,0.025622084,0.046807751,0.03890402,0.037867213,0.005126471,0.014912191,0.006296479,0.028442974,0.217961311,0.355201141,0.021409993,0.113688117,0.134087638,0.011411326,0.012198301,29.02199838,22.50878691
32,2,0.019498917,0.683527006,0.035527196,0.014959372,0.430006029,0.069051009,0.067601157,0.011337416,0.138366586,0.018446757,0.033327409,0.075422196,0.15939779,0.01670487,0.033797399,0.036337224,0.008641437,0.013109645,35.05461385,1.822008679
20,2,0.004056653,0.060402839,0.015232417,0.007500019,0.149098523,0.01049292,0.010623318,0.004092035,0.001522641,0.004056653,0.027564775,0.047611505,0.033890757,0.012986475,0.037538328,0.022592462,0.005969068,0.006394118,14.88982149,3.754922346
168,2,0.015402529,1.036678761,0.155572884,0.022977097,0.152309431,0.015825322,0.015825322,0.028507734,0.859117715,0.01217735,0.032923716,0.038256305,0.059517367,0.013728557,0.031964579,0.023268071,0.010457979,0.006504389,67.30574966,10.10047662
152,1,0.013210757,0.044602064,0.027918764,0.009182126,0.138607443,0.024453696,0.023123963,0.004056653,0.000677348,0.014274786,0.028014546,0.034610786,0.062846843,0.012912604,0.027541727,0.033661039,0.006467445,0.00604543,3.376192901,2.11333567
202,1,0.034210004,3.245016284,0.301579858,0.049572308,0.424890367,0.140573181,0.140573181,0.007257288,1.160093687,0.026474056,0.032415962,0.309615813,0.126286334,0.015395145,0.053621351,0.025731318,0.017812239,0.029511852,94.85577038,8.815545827
175,1,0.060388746,7.898454322,0.018486008,0.017019183,1.423984651,0.565063633,0.562248453,0.087887625,3.352121062,0.05965063,0.051921942,0.243315878,3.546731607,0.023891191,0.989983963,0.261708459,0.009674414,0.006442344,130.7934813,0.306116772
187,1,0.011030595,0,0.113662883,0.014860023,0.054833992,0.005784008,0.004148407,0.004056653,12.23078794,0.017952474,0.028263318,75.61213462,0.337476954,0.016523422,2.31163568,0.155884713,0.008072334,0.008017012,0,10.30432928
194,1,0.139172455,0.661076138,0.006288929,0.005643218,0.49637126,0.642363933,0.642363933,0.020946129,0.750664397,0.142573184,0.041571995,0.021723694,0.29889043,0.01255887,0.037313259,0.020635265,0.005462028,0.005366394,4.75005013,0.045188029
193,1,0.015567128,1.511448699,0.261224274,0.068739051,0.573056583,0.156063719,0.156206713,0.013109835,0.234711983,0.009625308,0.037293899,0.230774015,0.385524033,0.015865901,0.075240252,0.084117207,0.025201861,0.017299387,97.09232808,16.78050531
47,1,0.012094732,0.083796053,0.155758883,0.027237806,0.041610652,0.098766104,0.098766104,0.004056653,0.041491385,0.011489123,0.029108409,0.096409158,0.070502443,0.022385743,0.038788574,0.044289554,0.011981846,0.009149741,6.928310028,12.87824178
159,1,0.006672949,0.150871408,0.18476811,0.035619152,0.31244815,0.257515642,0.258729857,0.00580085,0.025103256,0.00419401,0.02900837,0.118637,0.8297139,0.037397189,0.159536099,0.124486237,0.015783278,0.008779725,22.60940523,27.68912365
80,1,0.126813852,1.034309586,3.737785388,0.472640548,0.749604028,1.104553937,1.101153796,0.235569566,0.111831864,0.154418986,0.085236778,2.645651568,1.22347989,1.893795292,0.272969118,0.15751487,0.155843723,0.051772275,8.156124664,29.47458286
192,1,0.024444089,0.50613598,0.083331385,0.064055375,1.26571366,0.25247124,0.25247124,0.013208677,0.089266893,0.023358417,0.029170556,0.092436578,0.567812564,0.014158784,0.142878261,0.185530684,0.02409385,0.010310125,20.7058639,3.409060775
